Saida,Saida_Estimada,Erro
0,-206.269,206.269,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
2,2.90426,-0.904258,
2,2.08247,-0.0824698,
2,2.08247,-0.0824698,
4,4.98673,-0.986728,
4,4.16494,-0.16494,
4,4.16494,-0.16494,
4,4.16494,-0.16494,
4,4.16494,-0.16494,
5,5.61707,-0.617069,
6,6.6583,-0.658304,
6,6.24741,-0.247409,
6,6.24741,-0.247409,
6,6.24741,-0.247409,
6,6.24741,-0.247409,
8,9.15167,-1.15167,
10,11.2341,-1.23414,
10,10.4123,-0.412349,
14,16.2209,-2.22087,
17,18.9337,-1.93368,
30,36.5787,-6.57867,
36,39.9498,-3.94982,
38,40.3887,-2.38871,
40,42.4712,-2.47118,
44,47.4579,-3.45791,
54,60.3356,-6.33563,
58,62.0352,-4.0352,
64,69.1044,-5.1044,
68,72.4475,-4.44755,
72,76.6125,-4.61249,
82,89.4902,-7.4902,
94,102.807,-8.80681,
106,115.302,-9.30163,
116,124.892,-8.89219,
128,138.209,-10.2088,
144,156.512,-12.5121,
160,173.172,-13.1719,
178,192.736,-14.7359,
196,211.478,-15.4781,
216,233.125,-17.1246,
228,242.332,-14.3323,
252,272.253,-20.2527,
276,297.242,-21.2423,
300,322.232,-22.2319,
328,353.03,-25.0301,
354,379.28,-25.2804,
374,397.64,-23.6397,
398,424.273,-26.2729,
420,446.358,-26.3583,
442,469.265,-27.2655,
462,489.268,-27.2684,
502,539.136,-37.1357,
524,554.647,-30.6468,
560,597.884,-37.8837,
0,638.104,0,
0,680.942,0,
0,726.622,0,
0,775.354,0,
0,827.35,0,
0,882.83,0,
0,942.03,0,
