Saida,Saida_Estimada,Erro
0,-1043.49,1043.49,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
2,3.66893,-1.66893,
2,2.02305,-0.0230456,
2,2.02305,-0.0230456,
2,2.02305,-0.0230456,
2,2.02305,-0.0230456,
2,2.02305,-0.0230456,
4,5.69197,-1.69197,
4,4.04609,-0.0460912,
8,11.3839,-3.38395,
22,33.7747,-11.7747,
24,25.9224,-1.92243,
32,38.9523,-6.95226,
42,50.7134,-8.71338,
48,53.4907,-5.49075,
54,59.5599,-5.55988,
64,72.9669,-8.96688,
68,72.0753,-4.07532,
74,79.7903,-5.79034,
80,85.8595,-5.85948,
88,95.5975,-7.59754,
96,103.69,-7.68972,
108,119.12,-11.1198,
120,131.258,-11.258,
132,143.396,-11.3963,
152,170.21,-18.2103,
176,197.779,-21.7786,
200,222.055,-22.0552,
224,246.332,-22.3317,
250,274.277,-24.2772,
290,326.259,-36.2593,
332,370.389,-38.3891,
368,401.866,-33.8663,
408,445.619,-37.619,
448,486.08,-38.0799,
474,500.858,-26.8583,
498,523.489,-25.489,
542,584.455,-42.4548,
582,621.624,-39.6239,
610,640.071,-30.0713,
660,708.752,-48.7521,
710,759.328,-49.3283,
758,806.235,-48.2355,
798,840.113,-42.1129,
846,895.25,-49.2495,
888,932.796,-44.7958,
940,993.624,-53.6244,
992,1046.22,-54.2236,
1048,1106.16,-58.1606,
1098,1151.8,-53.7991,
1152,1209.71,-57.7131,
1208,1268,-60.0043,
1268,1331.99,-63.9874,
1326,1389.01,-63.0099,
1386,1451.35,-65.3471,
0,1521.85,0,
0,1597.4,0,
0,1677.98,0,
0,1763.63,0,
0,1854.44,0,
0,1950.54,0,
0,2052.1,0,
